0.1799,0.43509,0.850492
0.179901,0.448522,0.850492
0.179905,0.467818,0.850491
0.179904,0.484457,0.850491
0.179914,0.488967,0.850491
0.205407,0.488978,0.850484
0.231541,0.488986,0.850483
0.249675,0.488999,0.850484
0.261045,0.489062,0.850486
0.264882,0.488961,0.850481
0.265151,0.487105,0.850485
0.264985,0.481333,0.850476
0.264937,0.472486,0.850474
0.264915,0.460549,0.850474
0.264906,0.445516,0.850474
0.264901,0.427617,0.850474
0.264898,0.406672,0.850475
0.264883,0.389046,0.850475
0.255587,0.388966,0.85047
0.21291,0.388965,0.85047
0.166545,0.388966,0.850471
0.16488,0.388959,0.850471
